epoch,cpu_usage,memory_usage,elapsed_time,total_training_time,average_cpu_usage,average_memory_usage
1,0.0,6068.3359375,2207.3991174697876,63370.89626121521,629.8100000000001,5036.791536458333
2,653.4,5100.546875,4307.1449937820435,63370.89626121521,629.8100000000001,5036.791536458333
3,653.3,5101.8203125,6407.124794244766,63370.89626121521,629.8100000000001,5036.791536458333
4,649.4,4937.36328125,8518.258029460907,63370.89626121521,629.8100000000001,5036.791536458333
5,651.4,4940.01171875,10630.311968564987,63370.89626121521,629.8100000000001,5036.791536458333
6,653.0,4940.77734375,12732.054205179214,63370.89626121521,629.8100000000001,5036.791536458333
7,652.8,5033.8203125,14834.089348077774,63370.89626121521,629.8100000000001,5036.791536458333
8,655.2,5033.8203125,16929.659556627274,63370.89626121521,629.8100000000001,5036.791536458333
9,653.2,5034.3828125,19031.858647823334,63370.89626121521,629.8100000000001,5036.791536458333
10,655.3,5035.0078125,21131.777467012405,63370.89626121521,629.8100000000001,5036.791536458333
11,653.3,5037.78125,23234.40641951561,63370.89626121521,629.8100000000001,5036.791536458333
12,653.4,5039.56640625,25339.220673799515,63370.89626121521,629.8100000000001,5036.791536458333
13,655.9,5040.171875,27440.15616750717,63370.89626121521,629.8100000000001,5036.791536458333
14,652.7,5042.8828125,29546.36297750473,63370.89626121521,629.8100000000001,5036.791536458333
15,653.4,5041.8046875,31654.08230471611,63370.89626121521,629.8100000000001,5036.791536458333
16,652.7,5040.85546875,33760.856930971146,63370.89626121521,629.8100000000001,5036.791536458333
17,652.4,5042.12890625,35867.26467561722,63370.89626121521,629.8100000000001,5036.791536458333
18,647.5,4984.05078125,37985.59661149979,63370.89626121521,629.8100000000001,5036.791536458333
19,647.6,4986.5078125,40101.73824453354,63370.89626121521,629.8100000000001,5036.791536458333
20,654.2,4987.5,42205.62879371643,63370.89626121521,629.8100000000001,5036.791536458333
21,645.2,5035.5,44330.44991827011,63370.89626121521,629.8100000000001,5036.791536458333
22,650.0,4978.35546875,46444.27185058594,63370.89626121521,629.8100000000001,5036.791536458333
23,649.7,4979.08984375,48557.95526909828,63370.89626121521,629.8100000000001,5036.791536458333
24,648.7,4981.58984375,50676.151247262955,63370.89626121521,629.8100000000001,5036.791536458333
25,651.6,4963.3671875,52786.98257899284,63370.89626121521,629.8100000000001,5036.791536458333
26,652.3,4963.80078125,54894.163076877594,63370.89626121521,629.8100000000001,5036.791536458333
27,650.7,4962.90234375,57011.545313596725,63370.89626121521,629.8100000000001,5036.791536458333
28,648.4,4951.56640625,59133.298689842224,63370.89626121521,629.8100000000001,5036.791536458333
29,649.5,4936.15234375,61251.93052816391,63370.89626121521,629.8100000000001,5036.791536458333
30,648.1,4882.28515625,63370.88626384735,63370.89626121521,629.8100000000001,5036.791536458333
